Population and dwelling counts,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
G0Y,9320,5875,4362
G0Z,8974,4289,3920
G1B,16698,6762,6626
G1C,36215,16886,16394
G1E,27753,14733,14031
G1G,24975,11493,11206
G1H,29618,15572,14939
G1J,23325,14182,13227
G1K,18911,12884,11435
G1L,22024,13773,12769
G1M,20770,10538,10025
G1N,8400,5363,4996
G1P,16538,8450,8071
G1R,16423,12386,10464
G1S,25912,14792,13656
G1T,6797,2937,2792
G1V,23629,15426,12271
G1W,22499,11121,10476
G1X,26746,13699,12979
G1Y,12738,5703,5484
G2A,15350,6729,6528
G2B,24936,11616,11263
G2C,12283,6191,5912
G2E,21054,9337,9111
G2G,10790,4911,4773
G2J,3223,1885,1772
G2K,12845,6994,6430
G2L,14609,6939,6669
G2M,5625,2306,2256
G2N,8486,3600,3495
G3A,20233,8604,8286
G3B,8315,3268,3133
G3C,10434,4723,4161
G3E,16115,6379,6270
G3G,10026,4179,4070
G3H,10142,4352,4186
G3J,10635,4697,4530
G3K,20396,8121,7961
G3L,11103,5743,4970
G3M,7436,3410,3300
G3N,11114,5037,4473
G3S,6647,2511,2397
G3Z,7371,3782,3427
G4A,3063,1489,1428
G4R,20327,10109,8958
G4S,4931,2266,2159
G4T,12654,6665,5830
G4V,6288,3463,3121
G4W,13988,7483,6997
G4X,15063,7352,6780
G4Z,9389,4782,4379
G5A,8283,4582,3843
G5B,5976,2919,2642
G5C,11390,5547,5231
G5H,6974,3433,3257
G5J,6010,3035,2855
G5L,28733,15887,14824
G5M,8829,3884,3802
G5N,8375,3657,3525
G5R,20118,10045,9482
G5T,2884,1518,1385
G5V,10999,5801,5464
G5X,6181,2874,2722
G5Y,23088,11764,11252
G5Z,7603,3408,3281
G6A,2546,1000,993
G6B,8404,4432,4052
G6C,7959,3512,3382
G6E,13110,5618,5489
G6G,20356,10330,9609
G6H,7097,3413,3208
G6J,10627,4358,4256
G6K,8237,3236,3191
G6L,15293,7452,7003
