Population and dwelling counts,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021"
M9C,38725,15834,15315
M9L,11737,4082,3772
M9M,24245,8500,8165
M9N,26059,11272,10463
M9P,20645,8199,7901
M9R,33783,12898,12417
M9V,53878,17463,16653
M9W,40977,14820,14169
N0A,31957,14737,13054
N0B,86919,31269,30135
N0C,17537,8191,6657
N0E,36557,15375,13742
N0G,86935,35896,32741
N0H,53674,34400,23288
N0J,33457,12005,11515
N0K,24817,9419,9059
N0L,49817,19408,18789
N0M,69177,32011,27634
N0N,42297,18752,16933
N0P,53140,23162,21267
N0R,50203,19287,18131
N1A,12614,5563,4997
N1C,3678,1237,1222
N1E,44799,18055,17506
N1G,29688,12853,11514
N1H,42178,18802,18048
N1K,10908,3787,3675
N1L,17474,6722,6177
N1M,18498,7546,7222
N1P,7991,2526,2506
N1R,42928,18081,17337
N1S,20171,8187,7918
N1T,18513,5647,5578
N2A,32454,12178,11833
N2B,16939,7329,7149
N2C,17681,7494,7284
N2E,40428,14544,14233
N2G,14580,8284,7802
N2H,22456,11453,10783
N2J,20899,10672,9476
N2K,29381,10815,10576
N2L,37953,19681,16193
N2M,36494,16113,15506
N2N,26596,9145,9014
N2P,25040,8848,8474
N2R,18445,5835,5678
N2T,20634,7109,6994
N2V,19428,6360,6261
N2Z,12341,6608,5234
N3A,17045,6395,6293
N3B,13190,4824,4743
N3C,27518,9657,9458
N3E,2802,839,793
N3H,24306,10220,9755
N3L,17676,6741,6526
N3P,8542,3209,3173
N3R,35858,15069,14718
N3S,27527,12070,11497
N3T,37406,14602,13914
N3V,1562,572,566
N3W,15805,5731,5579
N3Y,23402,10382,9922
N4B,8223,3459,3341
N4G,21519,9509,9207
N4K,28975,13555,12877
N4L,8337,4293,3716
N4N,10341,4849,4392
N4S,33055,14516,13973
N4T,15161,5543,5436
N4V,3477,1360,1312
N4W,13311,5221,5052
N4X,9946,4195,4066
N4Z,2362,911,899
N5A,32898,15203,14548
N5C,15721,6382,6194
N5H,15625,5763,5523
N5L,3714,2003,1696
N5P,21081,8962,8651
N5R,30680,12933,12637
N5V,32961,13236,12636
N5W,24740,12388,11584
N5X,36963,13738,13209
N5Y,35934,16194,15292
N5Z,24067,11008,10538
N6A,13810,9768,7354
N6B,11101,7181,6483
N6C,30629,14812,14159
N6E,28140,10366,10108
N6G,50940,20315,18428
N6H,44215,20694,19241
N6J,27497,13174,12757
N6K,37596,15303,14939
N6L,5167,1699,1577
N6M,8542,2822,2742
N6N,728,299,284
N6P,10943,4081,3970
N7A,12495,6687,5678
N7G,19921,8072,7876
N7L,25127,11583,11183
N7M,25579,11361,10845
N7S,28410,11643,11283
N7T,26033,13973,12908
N7V,11611,5713,5515
N7W,2578,1316,1298
N7X,1129,483,465
N8A,12624,5765,5486
N8H,27530,10486,9868
N8M,11819,4755,4624
N8N,24534,9580,9405
N8P,14603,5536,5463
N8R,12733,4455,4388
N8S,22354,10830,10473
N8T,17935,8046,7766
N8W,24057,10072,9764
N8X,16457,7796,7303
N8Y,19254,9686,9132
N9A,26107,14264,12567
N9B,19613,8223,7350
N9C,12538,5838,5347
N9E,21465,7779,7578
N9G,20712,6728,6606
N9H,13173,4737,4582
N9J,20089,7389,7262
N9K,2757,862,854
N9V,21688,8790,8505
N9Y,15836,6522,6210
P0A,17822,14748,8200
P0B,9589,8951,4165
P0C,4824,6930,2210
P0E,3606,3164,1576
P0G,3553,4048,1687
P0H,31909,17044,13308
P0J,20179,9704,8729
P0K,11456,6383,5138
P0L,22859,10591,9157
P0M,49727,24862,21257
P0N,9435,4472,4002
P0P,20285,12782,8819
P0R,12976,8224,5784
P0S,10170,6839,4498
P0T,32000,17869,13593
P0V,22944,9106,7323
P0W,6454,3903,2536
P0X,8410,7414,3365
P0Y,96,226,55
P1A,16959,7785,7432
P1B,33113,16526,15244
P1C,3371,1197,1174
P1H,18099,10316,7696
P1L,17984,9535,7521
P1P,11083,6921,4605
P2A,14695,10034,6469
P2B,9754,4606,4368
P2N,6944,3943,3407
P3A,24326,10701,10312
P3B,16434,8194,7582
P3C,17596,10143,8928
P3E,29132,14139,13204
P3G,4167,1807,1633
P3L,7996,3288,3177
P3N,7980,3121,3060
P3P,15408,6009,5852
P3Y,7757,3167,2997
P4N,24098,11932,10984
P4P,3232,1371,1325
P4R,4795,1820,1758
P5A,11372,6275,5839
P5E,5427,2704,2415
P5N,8260,4260,3871
P6A,33800,16498,15008
P6B,22754,11032,10422
P6C,18766,8926,8467
P7A,28587,14359,13263
P7B,22675,11110,10336
P7C,21695,10098,9489
P7E,20897,10401,9927
P7G,13238,5781,5024
P7J,4859,1877,1795
P7K,6801,2710,2649
P7L,2188,1163,919
P8N,9619,4597,4244
P8T,5541,2507,2211
P9A,10079,5176,4410
P9N,14088,7180,6037
R0A,43242,16437,14371
R0B,42205,12891,10338
R0C,56940,29544,21984
R0E,39578,27057,16213
R0G,43710,16500,15475
R0H,17902,5749,5162
R0J,29050,14933,11518
R0K,28076,12583,10864
R0L,26272,13160,10896
R0M,19451,9273,7904
R1A,21473,8807,8447
R1B,280,164,161
R1C,3937,1545,1506
R1N,16641,7388,6817
R2C,32816,12905,12651
R2E,9511,3418,3379
R2G,33874,15592,15190
R2H,16136,8250,7779
R2J,26960,10995,10724
R2K,34345,14077,13738
R2L,15255,6611,6294
R2M,38978,17676,16954
R2N,31384,12169,11935
R2P,35218,10878,10566
R2R,25599,7646,7509
R2V,38204,14848,14443
R2W,29483,12516,11294
R2X,19674,6993,6726
R2Y,19849,8598,8383
R3A,5156,2276,1927
R3B,12545,7190,6136
R3C,16798,11402,9586
R3E,19009,7360,6815
R3G,25200,11243,10540
R3H,116,44,42
R3J,28343,13080,12574
R3K,12431,5421,5328
R3L,20725,12201,11350
R3M,22203,11041,10470
R3N,16591,7579,7292
R3P,20616,8840,8476
R3R,25743,10604,10366
R3S,603,194,190
R3T,50190,20702,19534
R3V,6416,2500,2432
R3W,16173,5857,5682
R3X,22304,7679,7495
R3Y,33116,11151,10648
R4A,5471,1826,1792
R4G,1658,561,552
R4H,3282,964,938
R4J,1049,378,369
R4K,960,219,213
R4L,1350,493,474
R5A,3854,1366,1345
R5G,25086,9193,8890
R5H,5033,2007,1943
R5J,1431,509,489
R5K,6071,2137,2078
R5L,2251,841,813
R5M,2296,839,804
R5N,5593,1923,1897
R5P,738,284,272
R5R,1310,499,486
R5T,865,317,308
R6M,11444,4627,4441
R6W,21551,7191,6991
R7A,30022,13183,12279
R7B,22321,9324,8975
R7C,2870,1448,1333
R7N,9956,4762,4436
R8A,5294,2696,2442
R8N,13294,5557,4790
R9A,6782,2817,2600
S0A,52751,27603,22737
S0C,21738,11121,8819
S0E,32382,16177,13364
S0G,65896,33003,26601
S0H,21972,11473,9203
S0J,50642,25168,17727
S0K,90185,37514,33684
S0L,30490,14774,12255
S0M,48250,23520,17385
S0N,21369,10151,8072
S0P,6464,2104,1791
S2V,863,505,355
S3N,18635,8537,7910
S4A,11958,5770,4986
S4H,11807,5509,5022
S4K,81,49,35
S4L,5643,1884,1851
S4N,30983,12993,12139
S4P,13501,8233,6906
S4R,34399,14878,13951
S4S,34562,15091,14290
S4T,31061,15314,13574
S4V,33781,13228,12723
S4W,14378,5941,5456
S4X,29118,11444,11146
S4Y,5669,2033,1979
S4Z,1340,707,653
S6H,27554,13539,12292
S6J,5847,2546,2377
S6K,1337,483,464
S6V,42147,17131,15800
S6W,288,166,144
S6X,2521,778,761
S7A,176,44,44
S7B,497,217,210
S7C,1137,467,391
S7H,36818,17436,16168
S7J,30833,13436,12825
S7K,39076,18371,17107
S7L,41123,16917,15434
S7M,31870,14577,13020
S7N,27385,12398,11380
S7P,178,65,62
S7R,8990,2968,2825
S7S,5730,2338,2234
S7T,17468,6930,6441
S7V,16575,6471,6125
S7W,19204,7168,6637
S9A,14926,6750,6073
S9H,18545,8611,7896
S9V,14463,6099,5406
S9X,7899,3095,2851
T0A,57940,27641,22165
T0B,63070,28586,24593
T0C,62815,29839,24008
T0E,40343,21807,16111
T0G,40682,18790,14991
T0H,81424,32729,28177
T0J,50752,20564,18211
T0K,59088,21924,19075
T0L,52040,21062,18865
T0M,66367,29058,26067
T0P,3085,1470,1123
T1A,24982,12341,11440
T1B,32996,13781,13286
T1C,9405,4147,3964
T1G,11028,4101,3963
T1H,27814,12017,11428
T1J,26220,11692,10738
T1K,47253,20198,19003
T1L,7360,2875,2571
T1M,10056,3712,3615
T1P,17037,6817,6507
T1R,17161,6340,5965
T1S,43512,15604,15110
T1V,15703,6505,6309
T1W,17063,9845,7235
T1X,25295,8037,7794
T1Y,52860,18409,17210
T1Z,2709,822,773
T2A,57761,22555,21008
T2B,22530,9835,9239
T2C,19865,8525,8229
T2E,36342,19054,17548
T2G,16594,10983,9419
T2H,9223,4592,4296
T2J,41906,17613,17103
T2K,34673,15319,14530
T2L,14353,6689,6142
T2M,20475,9760,8989
T2N,25807,13130,11865
T2P,14347,9867,8261
T2R,17743,13181,11615
T2S,14781,8747,7964
T2T,30791,16539,15129
T2V,32631,15618,14792
T2W,39827,16823,16324
T2X,54683,19797,19306
T2Y,60196,21448,20946
T2Z,69025,25217,24716
T3A,51236,19432,18800
T3B,38129,17084,15964
T3C,24145,12822,11668
T3E,42336,19562,18441
T3G,57196,21032,20582
T3H,72004,26491,25548
T3J,78834,22350,21113
T3K,79143,27820,27119
T3L,30024,10546,10278
T3M,56701,20745,19899
T3N,33539,10566,9982
T3P,27666,8992,8693
T3R,34957,11849,11443
T3S,288,121,117
T3Z,10596,3730,3563
T4A,19940,7439,7190
T4B,58053,21015,20461
T4C,37325,14724,13967
T4E,5229,2091,1940
T4G,13368,6073,5126
T4H,11831,5163,4792
T4J,11390,4758,4464
T4L,17145,7055,6599
T4M,7754,2851,2739
T4N,30584,15796,14234
T4P,33759,13583,12855
T4R,37024,14372,13755
T4S,20586,9284,8149
T4T,13296,5549,5131
T4V,20160,9281,8670
T4X,26447,9122,8790
T5A,34427,14270,13361
T5B,15373,8185,7119
T5C,15937,6558,6099
T5E,33607,13556,12635
T5G,12873,6855,5813
T5H,25367,16659,13802
T5J,6288,5654,4013
T5K,22440,16632,14330
T5L,16755,7206,6635
T5M,15462,7919,7127
T5N,14713,8006,7166
T5P,20475,10341,9251
T5R,24643,10373,9849
T5S,7731,3017,2922
T5T,77839,30147,28883
T5V,146,62,58
T5W,20047,9056,8332
T5X,42643,16015,15347
T5Y,54437,19752,18777
T5Z,34199,12095,11655
T6A,14477,6772,6311
T6B,9291,4284,4058
T6C,20242,10541,9676
T6E,22893,14444,12539
T6G,11502,6474,5327
T6H,27878,13289,11957
T6J,45386,19657,18432
T6K,28047,10871,10236
T6L,49215,18756,17867
T6M,33889,12285,11830
T6N,28,12,12
T6P,1806,867,825
T6R,45153,16866,16139
T6S,23,6,6
T6T,48823,14583,14087
T6V,23107,7492,7239
T6W,83496,32278,30347
T6X,50392,17019,16318
T6Y,232,102,95
T7A,11412,4934,4488
T7E,13720,6005,5404
T7N,7176,3107,2922
T7P,7183,3306,2988
T7S,11873,5044,4579
T7V,10315,4597,4191
T7X,47506,18350,17732
T7Y,17057,6363,6025
T7Z,18929,7870,7505
T8A,42146,16315,15942
T8B,7075,2654,2557
T8C,4406,1601,1550
T8E,8247,3046,2955
T8G,4784,1891,1801
T8H,31062,12161,11827
T8L,29258,11748,11207
T8N,68213,27014,25933
T8R,15960,6090,5734
T8S,7930,3397,2989
T8T,7283,2530,2379
T8V,31632,15108,13294
T8W,21556,8107,7553
T8X,24187,9164,8548
T9A,15093,6665,6142
T9C,6656,3177,2866
T9E,34385,13641,13085
T9G,6969,2788,2668
T9H,26075,11899,9860
T9J,3776,1680,1378
T9K,40909,16052,14119
T9M,18238,7706,7000
T9N,9439,4101,3651
T9S,6360,3330,2629
T9V,20751,8928,8009
T9W,8091,3463,3208
T9X,5403,2579,2237
V0A,16077,10472,7111
V0B,36123,20712,15777
V0C,26463,12878,10529
V0E,72013,39107,30989
V0G,26940,14266,12332
V0H,58479,32379,26061
V0J,51918,24434,21122
V0K,33615,19913,15435
V0L,4849,2729,2035
V0M,12420,5617,4881
V0N,71423,39578,31745
V0P,7335,4590,3540
V0R,72310,36491,31182
V0S,366,420,176
V0T,9032,4777,3884
V0V,1894,945,685
V0W,503,539,289
V0X,22683,11756,9815
V1A,9024,4706,3991
V1B,23425,9993,8931
V1C,26195,11418,11013
V1E,21397,9327,8886
V1G,15116,7308,6399
V1H,14999,8036,6692
V1J,24491,11169,9913
V1K,9352,4276,3920
V1L,17641,8639,7855
V1M,31417,11591,11274
V1N,13357,6009,5663
V1P,9656,3687,3508
V1R,10295,5083,4800
V1S,13262,5189,5029
V1T,30436,14529,13854
V1V,26732,12545,11285
V1W,38374,16616,15663
V1X,35151,14825,14181
V1Y,39050,21289,19337
V1Z,16552,7312,6545
V2A,40489,20112,18931
V2B,41642,17582,16867
V2C,27038,12668,11938
V2E,15962,6264,6089
V2G,18200,8371,7755
V2H,7060,3142,2998
V2J,22680,10650,9954
V2K,21556,8977,8606
V2L,10101,5216,4660
V2M,23763,10807,10237
V2N,33870,14062,13198
V2P,39075,16842,16136
V2R,55505,22496,21373
V2S,52492,21544,20716
V2T,60078,20545,19541
V2V,36155,13494,12554
V2W,23673,7807,7528
V2X,50279,20632,19957
V2Y,46971,17430,16466
V2Z,16209,6158,5909
V3A,46299,19798,18921
V3B,61396,24786,23865
V3C,39448,15336,14815
V3E,42030,14563,13929
V3G,26939,9296,8914
V3H,37339,14946,14394
V3J,44558,19122,18228
V3K,31181,12603,11893
V3L,30988,14760,14222
V3M,47927,22977,21877
V3N,41405,16270,15563
V3R,61436,21673,20795
V3S,104997,33851,32316
V3T,45514,19589,18442
V3V,50873,15385,14438
V3W,95970,29435,28006
V3X,33054,10041,9511
V3Y,19414,7719,7477
V3Z,38837,14521,13772
V4A,38036,16093,15426
V4B,21828,11417,10675
V4C,48434,15940,15079
V4E,12280,4065,3927
V4G,72,34,30
V4K,25193,10009,9705
V4L,7874,3666,3508
V4M,16805,7090,6726
V4N,86011,28973,27608
V4P,13950,5760,5511
V4R,17038,5817,5622
V4S,7922,2738,2642
V4T,31700,14223,13332
V4V,17726,7885,7163
V4W,21246,7646,7290
V4X,14365,4394,4178
V4Z,5777,2013,1885
V5A,25403,10445,9726
V5B,22577,9000,8543
V5C,37684,17958,16918
V5E,26843,11097,10620
V5G,20137,7673,7257
V5H,41948,21163,19649
V5J,23190,8860,8460
V5K,23431,9735,9106
V5L,19473,10855,10240
V5M,23412,9364,8778
V5N,35843,16190,15201
V5P,31624,11935,11042
V5R,48150,19741,18623
V5S,32940,13449,12729
V5T,26340,15246,14275
V5V,24288,10201,9487
V5W,20828,8397,7844
V5X,31095,12047,11055
V5Y,19032,9795,9121
V5Z,24957,12787,12074
V6A,21062,11864,10895
V6B,32375,20528,18552
V6C,2846,1785,1532
V6E,27482,18597,16964
V6G,28013,19683,17887
V6H,17742,10555,10007
V6J,23044,13677,12887
V6K,27146,14837,13979
V6L,10563,4143,3904
V6M,16421,7720,7234
V6N,14258,5307,4971
V6P,33079,14848,14083
V6R,19170,9195,8394
V6S,15711,7315,6365
V6T,12048,5487,4716
V6V,11096,3729,3553
V6W,2439,1213,1152
V6X,41321,18510,17406
V6Y,49221,21619,20688
V6Z,20683,12943,11800
V7A,26533,9410,9037
V7B,820,315,304
V7C,40708,16025,15153
V7E,37803,14215,13788
V7G,11851,4874,4696
V7H,12430,4690,4562
V7J,17865,7341,6964
V7K,12586,4423,4282
V7L,29248,14524,13485
V7M,23086,12285,11632
V7N,15150,5796,5567
V7P,13710,6084,5726
V7R,15585,5610,5380
V7S,11141,4286,4010
V7T,9891,4439,4099
V7V,15241,7139,6727
V7W,8698,3508,3276
V7Z,203,210,97
V8A,19133,9628,8773
V8B,17677,7687,7061
V8C,8236,4381,3604
V8E,13788,9507,5474
V8G,19606,8661,8000
V8J,12344,5793,5101
V8K,11635,6105,5120
V8L,25107,11912,11203
V8M,16687,7636,7091
V8N,26049,10384,9861
V8P,18418,8211,7812
V8R,24074,11470,10979
V8S,17294,8490,8059
V8T,21343,11040,10383
V8V,28430,18156,16894
V8W,6459,5125,4127
V8X,24227,11136,10715
V8Y,10134,4234,4087
V8Z,32137,13046,12606
V9A,39759,20739,19752
V9B,53952,23436,22370
V9C,27886,10895,10469
V9E,5341,2187,2102
V9G,15885,7150,6746
V9H,10137,4262,4085
V9J,9385,4087,3825
V9K,16688,8530,7634
V9L,36520,15935,15138
V9M,18470,8389,8058
V9N,32956,15374,14849
V9P,27708,13858,13097
V9R,31992,14937,14039
V9S,17977,8800,8488
V9T,36952,16015,15399
V9V,11300,4762,4623
V9W,30783,14293,13655
V9X,11345,4577,4390
V9Y,26445,12975,11971
V9Z,20131,8841,8267
X0A,19355,6573,5530
X0B,6476,1958,1681
X0C,11027,3189,2715
X0E,19798,9021,7308
X0G,468,209,170
X1A,20804,8373,7729
Y0A,1657,1023,770
Y0B,7481,5066,3640
Y1A,31094,13521,12771
