FSA,Number of Returns,Total Income,Median Total Income,Average Total Income
E4C,1890,83605000,35388,44235
E4E,7590,324676000,34220,42776
E4G,2180,94043000,34510,43138
E4H,3450,145575000,33756,42195
E4J,4030,163429000,32442,40553
E4K,4900,229502000,37469,46837
E4L,6210,296614000,38210,47763
E4M,1620,67484000,33324,41656
E4N,3960,194151000,39222,49028
E4P,13870,690496000,39826,49783
E4R,6150,305195000,39700,49625
E4S,6540,272093000,33283,41604
E4T,1880,68945000,29337,36672
E4V,3800,168802000,35536,44421
E4W,7280,251014000,27583,34479
E4X,2650,107059000,32319,40399
E4Y,2750,97814000,28454,35568
E4Z,4700,155305000,26434,33043
E5A,1490,55299000,29690,37113
E5B,2670,149161000,44692,55865
E5C,3610,166404000,36876,46095
E5E,650,27940000,34387,42984
E5G,2090,123539000,47287,59109
E5H,2400,102336000,34112,42640
E5J,1660,82744000,39876,49845
E5K,5870,317802000,43312,54140
E5L,2350,92407000,31457,39322
E5M,1720,77770000,36172,45215
E5N,9900,490773000,39658,49573
E5P,2130,90755000,34085,42607
E5R,1300,55126000,33923,42404
E5S,1520,75525000,39749,49687
E5T,2530,109510000,34627,43284
E5V,600,28267000,37688,47111
E6A,1000,35419000,28335,35419
E6B,1300,49477000,30447,38059
E6C,1740,72623000,33389,41737
E6E,1180,44435000,30124,37656
E6G,2230,97960000,35142,43928
E6H,1030,45390000,35253,44067
E6J,1000,39578000,31662,39578
E6K,3130,148274000,37896,47371
E6L,3880,177702000,36639,45799
E7A,3220,133522000,33172,41466
E7B,4990,215535000,34554,43193
E7C,4400,179651000,32663,40829
E7E,3630,141690000,31226,39033
E7G,3220,114329000,28404,35505
E7H,4520,150988000,26723,33404
E7J,1560,62134000,31863,39829
E7K,1940,76844000,31688,39610
E7L,4300,191320000,35594,44493
E7M,8450,404426000,38288,47861
E7N,2560,112626000,35195,43994
E7P,2850,121349000,34062,42578
E8A,3120,127383000,32661,40827
E8B,2030,77007000,30347,37934
E8C,2940,105197000,28624,35781
E8E,4480,192476000,34370,42963
E8G,2340,77322000,26434,33043
E8J,4960,204865000,33042,41303
E8K,7590,336576000,35475,44344
E8L,2090,76830000,29408,36760
E8M,1800,68155000,30290,37863
E8N,2160,79086000,29290,36613
E8P,3130,126581000,32352,40441
E8R,2900,98990000,27307,34134
E8S,4160,184983000,35573,44467
E8T,5180,226957000,35051,43814
E9A,2120,103829000,39180,48975
E9B,1950,75292000,30888,38611
E9C,1870,68963000,29502,36878
E9E,3200,127223000,31805,39757
E9G,4400,141963000,25811,32264
E9H,2730,95848000,28087,35109
Total,639780,30147171000,37696,47121
G0A,69820,3780838000,43320,54151
G0C,41480,1745523000,33664,42081
G0E,4160,163901000,31519,39399
G0G,13980,729910000,41768,52211
G0H,8460,336386000,31808,39761
G0J,24570,955608000,31114,38893
G0K,9760,431194000,35343,44179
G0L,50900,2196379000,34520,43150
G0M,28600,1254859000,35100,43876
G0N,16830,735437000,34957,43697
G0P,5620,247132000,35178,43973
G0R,71380,3194133000,35798,44748
G0S,58610,2793265000,38126,47658
G0T,11960,534095000,35724,44656
G0V,15310,763611000,39900,49876
G0W,29320,1190029000,32469,40587
G0X,50410,2276202000,36122,45153
G0Y,7950,335687000,33779,42224
G0Z,7540,315367000,33460,41825
G1A,0,0,0,0
G1B,13740,773290000,45024,56280
G1C,30820,1676214000,43509,54387
