FSA,Number of Returns,Total Income,Median Total Income,Average Total Income
L3R,55070,3222397000,46811,58514
L3S,47680,1993095000,33440,41801
L3T,43790,3053274000,55780,69725
L3V,39360,2009138000,40836,51045
L3X,36510,2331396000,51084,63856
L3Y,35370,2009143000,45442,56803
L3Z,31310,1705749000,43583,54479
L4A,38560,3045150000,63176,78971
L4B,33260,2274086000,54698,68373
L4C,63990,3763465000,47050,58813
L4E,43550,2791865000,51285,64107
L4G,49760,3857575000,62018,77523
L4H,60500,4001500000,52912,66140
L4J,64670,4865322000,60186,75233
L4K,17820,1063448000,47741,59677
L4L,48290,3358894000,55644,69556
L4M,38600,1987592000,41193,51492
L4N,78280,4239767000,43328,54161
L4P,23370,1246814000,42680,53351
L4R,15890,779432000,39240,49051
L4S,30660,1744039000,45506,56883
L4T,35660,1172065000,26293,32867
L4V,50,10221000,163536,204420
L4W,17510,1071688000,48963,61204
L4X,14970,688516000,36794,45993
L4Y,19360,1034593000,42751,53439
L4Z,32280,1593627000,39494,49368
L5A,39070,1734157000,35508,44385
L5B,54910,2634789000,38386,47983
L5C,25140,1370943000,43625,54532
L5E,10480,667842000,50980,63725
L5G,16720,1618588000,77444,96805
L5H,14190,1632370000,92028,115036
L5J,22890,1736565000,60692,75865
L5K,10820,678062000,50133,62667
L5L,37060,2269384000,48988,61235
L5M,89490,5069422000,45317,56647
L5N,69340,3953612000,45613,57017
L5P,0,0,0,0
L5R,32790,1622852000,39593,49492
L5S,150,12747000,67984,84980
L5T,240,16970000,56566,70708
L5V,43480,2139071000,39356,49196
L5W,21300,1144270000,42976,53721
L6A,72250,4548967000,50368,62961
L6B,25760,1426830000,44311,55389
L6C,41770,2675518000,51242,64053
L6E,30210,1635864000,43319,54149
L6G,6240,319026000,40900,51125
L6H,58100,4494934000,61892,77365
L6J,20080,3200304000,127501,159377
L6K,11460,1040401000,72628,90785
L6L,24430,2291875000,75050,93813
L6M,55830,4556066000,65284,81606
L6P,82300,3550041000,34508,43135
L6R,85400,3277381000,30700,38376
L6S,47150,2115807000,35898,44873
L6T,32660,1293260000,31677,39597
L6V,35710,1429123000,32016,40020
L6W,19380,906871000,37435,46794
L6X,66950,2942570000,35160,43951
L6Y,89970,3821660000,33981,42477
L6Z,29310,1469685000,40113,50142
L7A,88030,3870814000,35176,43971
L7B,13890,1602437000,92292,115366
L7C,28280,1882644000,53256,66571
L7E,28050,1971086000,56216,70270
L7G,38810,2826270000,58258,72823
L7J,10980,697779000,50840,63550
L7K,6860,543184000,63344,79181
L7L,37290,2879496000,61774,77218
L7M,38750,2999862000,61932,77415
L7N,10910,965889000,70825,88532
L7P,23850,1831950000,61448,76811
L7R,13890,1028776000,59252,74065
L7S,9920,701489000,56571,70714
L7T,15200,1154743000,60775,75969
L8B,18670,1335527000,57226,71533
L8E,33890,1788391000,42216,52770
L8G,18340,952093000,41530,51913
L8H,20430,829603000,32485,40607
L8J,22630,1240113000,43839,54799
L8K,25860,1194547000,36953,46192
L8L,23150,866628000,29948,37435
L8M,9920,446438000,36002,45003
L8N,11720,479977000,32762,40953
L8P,18900,1141835000,48331,60414
L8R,8790,343312000,31245,39057
L8S,12270,605299000,39464,49331
L8T,15920,782635000,39328,49160
L8V,16990,736344000,34671,43339
L8W,21110,994836000,37700,47126
L9A,21040,957498000,36406,45508
L9B,20940,1109041000,42369,52962
L9C,33610,1711141000,40728,50911
L9E,11940,762147000,51064,63831
L9G,20460,1869345000,73092,91365
L9H,25500,1927853000,60481,75602
L9J,1800,91762000,40782,50978
L9K,12650,861932000,54508,68136
L9L,12200,860194000,56405,70507
L9M,13080,647373000,39594,49493
L9N,16700,972237000,46573,58217
L9P,14040,1093745000,62321,77902
L9R,20210,1136723000,44996,56245
L9S,25250,1412711000,44758,55948
L9T,81310,4979686000,48994,61243
L9V,13350,729963000,43742,54678
L9W,38610,2365246000,49007,61259
L9X,9990,789702000,63239,79049
L9Y,23320,1734587000,59504,74381
L9Z,20550,1005438000,39140,48926
M1B,56090,2187360000,31197,38997
M1C,30930,1858660000,48073,60092
M1E,40030,1771317000,35399,44249
M1G,26090,919745000,28201,35252
M1H,20890,830389000,31800,39750
M1J,30200,1108189000,29356,36695
M1K,41200,1525887000,29628,37036
M1L,28460,1183759000,33274,41593
M1M,19780,1061071000,42914,53643
M1N,18260,1252928000,54892,68615
M1P,37640,1445747000,30727,38409
M1R,26070,1095105000,33604,42006
M1S,33410,1384051000,33140,41426
M1T,29420,1299606000,35339,44174
M1V,45320,1668101000,29445,36807
M1W,41410,1813120000,35027,43784
M1X,13030,532653000,32702,40878
M2H,20990,1103539000,42059,52574
M2J,53440,2722720000,40759,50949
M2K,21530,1441720000,53570,66963
M2L,9500,1347224000,113450,141813
M2M,28920,1524674000,42176,52720
M2N,73710,4619974000,50141,62677
M2P,6420,960540000,119692,149616
M2R,34970,1608109000,36788,45985
M3A,27710,1525348000,44036,55046
M3B,11610,1611429000,111036,138796
M3C,32520,1620270000,39858,49823
M3H,31270,2283501000,58420,73025
M3J,25910,973832000,30068,37585
M3K,7010,374756000,42768,53460
M3L,16020,603991000,30161,37702
M3M,20430,837289000,32786,40983
M3N,32780,1041384000,25414,31768
M4A,11880,556545000,37477,46847
M4B,14810,878196000,47437,59297
M4C,36220,2050780000,45296,56620
M4E,19240,2104338000,87498,109373
M4G,15540,2335052000,120208,150260
M4H,13990,412318000,23577,29472
M4J,27410,1897540000,55382,69228
M4K,24050,2044495000,68008,85010
M4L,23790,2120935000,71321,89152
M4M,19130,1560408000,65254,81568
M4N,12600,3262592000,207148,258935
M4P,19560,1569591000,64195,80244
M4R,9400,1376656000,117161,146452
M4S,24260,2254415000,74341,92927
M4T,9180,2356703000,205376,256721
M4V,15110,3126690000,165542,206928
M4W,12670,3080528000,194508,243135
M4X,16170,798173000,39488,49361
M4Y,29270,1760953000,48129,60162
M5A,38200,2573546000,53896,67370
M5B,13450,741300000,44092,55115
M5C,3480,619286000,142364,177955
M5E,9820,1116588000,90964,113705
M5G,21310,783771000,29423,36779
M5H,2980,888885000,238626,298283
M5J,13180,1399960000,84974,106218
M5K,160,92364000,461820,577275
M5L,30,8277000,220720,275900
M5M,20330,3120424000,122790,153488
M5N,12690,1871102000,117956,147446
M5P,15490,2601383000,134351,167939
M5R,19940,3271198000,131241,164052
M5S,13650,1152804000,67563,84454
M5T,15090,824775000,43725,54657
M5V,44300,4097401000,73993,92492
M5W,90,10261000,91208,114011
M5X,60,55683000,742440,928050
M6A,18180,927531000,40815,51019
M6B,23200,1635651000,56401,70502
M6C,18620,1745998000,75016,93770
M6E,30490,1459655000,38298,47873
M6G,23440,2010168000,68606,85758
M6H,34870,2063528000,47341,59177
M6J,24370,1975180000,64839,81049
M6K,31340,1921368000,49045,61307
M6L,16790,735556000,35047,43809
M6M,33290,1343235000,32279,40349
M6N,32920,1449394000,35221,44027
M6P,30640,2300424000,60063,75079
M6R,14440,1433305000,79407,99259
M6S,26130,2780449000,85126,106408
M7A,0,0,0,0
M7Y,0,0,0,0
M8V,34390,2341024000,54457,68072
M8W,17880,1188641000,53182,66478
M8X,9040,1516885000,134237,167797
M8Y,17120,1360833000,63589,79487
M8Z,14900,1212504000,65100,81376
M9A,29850,3230054000,86567,108209
M9B,27580,2028826000,58848,73561
M9C,32110,1928892000,48056,60071
M9L,10520,403372000,30674,38343
M9M,19670,774780000,31510,39388
M9N,21000,883650000,33662,42078
M9P,17060,1095983000,51393,64242
M9R,28030,1316844000,37583,46979
M9V,47260,1631067000,27609,34512
M9W,36190,1482907000,32780,40975
N0A,31230,1519246000,38917,48647
N0B,67120,5038440000,60052,75066
N0C,13510,696247000,41228,51535
N0E,29580,1647321000,44552,55690
N0G,64890,3517601000,43366,54208
N0H,43370,2838066000,52350,65438
N0J,26000,1418766000,43653,54567
N0K,18860,1044982000,44325,55407
N0L,41490,2481196000,47841,59802
N0M,55840,3426582000,49091,61364
N0N,33870,2157125000,50950,63688
N0P,44060,2270685000,41228,51536
N0R,39660,2510820000,50646,63308
N1A,10220,488170000,38212,47766
N1C,3110,232833000,59892,74865
N1E,34300,2048106000,47768,59711
N1G,23130,1492733000,51628,64536
N1H,33360,1873241000,44921,56152
N1K,9120,467759000,41031,51289
N1L,13320,892621000,53610,67013
N1M,14650,844894000,46136,57671
N1P,6060,328349000,43346,54183
N1R,34260,1621792000,37869,47337
N1S,15910,944201000,47476,59346
N1T,15030,872537000,46442,58053
N2A,25690,1488593000,46355,57944
N2B,14060,728119000,41428,51786
N2C,14920,621153000,33305,41632
N2E,31950,1509411000,37793,47242
N2G,12000,604518000,40300,50376
N2H,17480,997872000,45668,57086
N2J,16510,1005801000,48736,60920
N2K,23810,1943197000,65289,81612
N2L,29770,1736655000,46668,58335
N2M,28260,1425701000,40359,50449
N2N,21770,1174967000,43176,53971
N2P,20260,1330383000,52532,65665
N2R,14130,786163000,44509,55637
N2T,17010,1281865000,60287,75359
N2V,15350,1070814000,55807,69759
N2Z,9740,730183000,59973,74967
N3A,13300,901122000,54202,67753
N3B,9760,638030000,52296,65371
N3C,21570,1288161000,47776,59720
N3E,1920,108219000,45091,56364
N3H,19790,986998000,39898,49873
N3L,13960,817101000,46824,58531
N3P,6750,318173000,37708,47136
N3R,29090,1479854000,40696,50871
N3S,20830,852473000,32740,40925
N3T,30830,1582339000,41059,51324
N3V,1320,71962000,43612,54516
N3W,12290,726699000,47303,59129
N3Y,19890,1024095000,41189,51487
N4B,6540,318020000,38900,48626
N4G,17590,908628000,41324,51655
N4K,23760,1232830000,41508,51886
N4L,6870,368877000,42954,53693
N4N,8550,432966000,40511,50639
N4S,26860,1360919000,40533,50667
N4T,11880,652400000,43932,54915
N4V,2660,132201000,39759,49699
N4W,10010,525232000,41976,52470
N4X,8390,507215000,48363,60454
N4Z,1890,102541000,43403,54254
N5A,27320,1524649000,44645,55807
N5C,12510,657969000,42076,52595
N5H,11850,557779000,37655,47069
N5L,3070,192558000,50177,62722
N5P,16700,857857000,41094,51368
N5R,24340,1205984000,39637,49547
N5V,26960,1083092000,32139,40174
N5W,19890,820331000,32994,41243
N5X,28380,1766723000,49801,62252
N5Y,28510,1163842000,32657,40822
N5Z,18510,725184000,31341,39177
N6A,9760,738774000,60555,75694
N6B,8240,353726000,34341,42927
N6C,24130,1334144000,44231,55289
N6E,21210,826091000,31158,38948
N6G,39600,2391150000,48305,60382
N6H,35160,1945283000,44260,55326
N6J,21920,1017320000,37128,46410
N6K,30320,2143764000,56563,70704
N6L,3920,194467000,39686,49608
N6M,6620,338468000,40902,51128
N6N,570,41476000,58211,72764
N6P,8560,684353000,63957,79947
N7A,10510,586157000,44616,55771
N7G,15870,824591000,41567,51959
N7L,20790,991323000,38145,47682
N7M,20400,1053570000,41316,51645
N7S,22990,1372998000,47776,59721
N7T,20650,941588000,36477,45597
N7V,9810,632991000,51620,64525
N7W,2320,150012000,51728,64660
N7X,960,110461000,92050,115063
N8A,11270,459136000,32591,40739
N8H,31160,1313991000,33735,42169
N8M,9590,515353000,42990,53738
N8N,20380,1461739000,57379,71724
N8P,11970,689327000,46069,57587
N8R,10210,456123000,35739,44674
N8S,18170,967207000,42584,53230
N8T,13860,537777000,31040,38800
N8V,160,8002000,40009,50012
N8W,19540,914520000,37441,46802
N8X,12850,480409000,29908,37385
N8Y,14870,679713000,36568,45710
N9A,19600,614044000,25062,31328
N9B,16440,534753000,26021,32527
N9C,9770,314887000,25783,32229
N9E,17750,1008379000,45448,56810
N9G,16700,925418000,44331,55414
N9H,10690,769062000,57553,71942
N9J,17040,1134934000,53283,66604
N9K,2300,146674000,51016,63771
N9V,17590,1056400000,48044,60056
N9Y,13060,777795000,47644,59555
P0A,14530,670445000,36913,46142
P0B,7670,508249000,53011,66264
P0C,3330,204724000,49182,61478
P0E,2770,152722000,44107,55134
P0G,2790,157496000,45160,56450
P0H,26900,1356477000,40340,50426
P0J,17100,873650000,40872,51090
P0K,8950,462634000,41352,51690
P0L,18620,796081000,34203,42754
P0M,40480,2202371000,43524,54406
P0N,7300,418695000,45884,57355
P0P,15780,600327000,30434,38043
P0R,10570,495523000,37504,46880
P0S,8280,439207000,42435,53044
P0T,24950,1199932000,38474,48093
P0V,15110,436763000,23124,28905
P0W,4960,228542000,36861,46077
P0X,5610,247548000,35300,44126
P0Y,50,2597000,41552,51940
P1A,13610,676419000,39760,49700
P1B,26850,1287714000,38367,47959
P1C,2710,239274000,70633,88292
P1H,14820,851376000,45957,57447
P1L,14560,835485000,45905,57382
P1P,8390,426096000,40628,50786
P2A,11580,599697000,41429,51787
P2B,8200,375809000,36664,45830
P2N,5530,278975000,40357,50447
P3A,19770,1082142000,43788,54736
P3B,12740,657738000,41301,51627
P3C,13020,521964000,32071,40089
P3E,22800,1601128000,56179,70224
P3G,3400,284426000,66923,83654
P3L,6360,386773000,48650,60813
P3N,6360,381516000,47988,59986
P3P,12250,738551000,48231,60289
P3Y,6120,415801000,54352,67941
P4N,20090,1069493000,42588,53235
P4P,2570,157184000,48928,61161
P4R,3790,260502000,54987,68734
P5A,9700,379191000,31272,39091
P5E,4420,225190000,40757,50947
P5N,6830,351326000,41150,51438
P6A,28720,1544887000,43032,53791
P6B,18980,968464000,40820,51025
P6C,15580,727023000,37330,46663
P7A,22510,1193776000,42426,53033
P7B,18270,946325000,41436,51796
P7C,17000,786670000,37019,46274
P7E,16450,767648000,37332,46665
P7G,10420,716604000,55016,68771
P7J,4010,261506000,52170,65213
P7K,5500,393855000,57288,71610
P7L,1660,99552000,47976,59971
P8N,8700,478281000,43979,54974
P8T,3930,218690000,44516,55646
P9A,7990,418514000,41903,52379
P9N,11280,624058000,44259,55324
Total,11543260,691771417000,47942,59928
R0A,29940,1420053000,37943,47429
R0B,27900,415806000,11922,14903
R0C,41700,1793807000,34412,43016
R0E,27680,1306838000,37769,47212
R0G,32530,1695370000,41693,52117
R0H,10410,398308000,30609,38262
R0J,21640,978230000,36163,45204
R0K,19960,1036986000,41562,51953
R0L,20480,805837000,31477,39347
R0M,14710,729850000,39692,49615
R1A,17130,944440000,44106,55133
R1B,260,13815000,42507,53134
R1C,3180,193120000,48583,60729
R1N,15400,660396000,34305,42882
R2C,25950,1285748000,39637,49547
R2E,8090,739606000,73137,91422
R2G,27700,1442236000,41652,52066
R2H,12540,638038000,40704,50880
R2J,21670,1198747000,44254,55318
R2K,26730,1199141000,35888,44861
R2L,11100,418835000,30185,37732
R2M,30390,1552756000,40875,51094
R2N,26040,1563971000,48048,60060
R2P,29170,1162704000,31887,39859
R2R,21060,849025000,32251,40314
R2V,30480,1453330000,38144,47681
R2W,19970,635025000,25438,31798
R2X,15180,558256000,29420,36775
R2Y,15290,769673000,40270,50338
R3A,3320,87272000,21028,26286
R3B,9160,352232000,30762,38453
R3C,15610,568423000,29131,36414
R3E,14130,488230000,27641,34552
R3G,19140,841573000,35175,43969
R3H,160,14891000,74454,93068
R3J,22180,1113016000,40144,50181
R3K,10230,656162000,51312,64140
R3L,15950,873360000,43804,54756
R3M,17290,1220097000,56452,70566
R3N,13000,954250000,58722,73403
R3P,17210,1797216000,83542,104428
R3R,20720,1426902000,55092,68865
R3S,450,67280000,119608,149511
R3T,41890,1900747000,36299,45374
R3V,5180,272636000,42105,52632
R3W,12290,630176000,41020,51275
R3X,17170,1293146000,60251,75314
R3Y,25480,1560068000,48981,61227
R4A,4070,270702000,53208,66511
R4G,1300,115622000,71152,88940
R4H,2170,209613000,77276,96595
R4J,910,74840000,65792,82241
R4K,700,42733000,48837,61047
R4L,1000,67048000,53638,67048
R5A,3020,197900000,52423,65529
R5G,19890,904900000,36396,45495
R5H,4280,197711000,36955,46194
R5J,1040,50129000,38560,48200
R5K,4370,262234000,48005,60007
R5L,1810,95212000,42082,52603
R5M,1910,118550000,49654,62068
R5N,4420,302473000,54745,68432
R5P,590,29232000,39636,49545
R5R,980,71091000,58032,72541
R5T,640,43815000,54768,68460
R6M,8840,415018000,37557,46947
R6P,380,13252000,27898,34873
R6T,180,6571000,29204,36505
R6W,15220,660372000,34710,43388
R7A,25790,1173565000,36403,45504
R7B,17590,1013457000,46092,57615
R7C,2200,135327000,49209,61512
R7N,8150,387979000,38083,47604
R8A,4300,255854000,47600,59500
R8N,9080,513911000,45278,56598
R9A,5850,291636000,39881,49852
Total,1035490,51898371000,40095,50119
R8A,190,11812000,49734,62168
S0A,41550,1990612000,38326,47908
S0C,16360,1005071000,49147,61434
S0E,26200,1276592000,38979,48724
S0G,50630,2716763000,42927,53659
S0H,16650,852620000,40966,51208
S0J,37050,1301998000,28112,35141
S0K,69200,3849058000,44497,55622
S0L,24210,1411153000,46630,58288
S0M,35650,1388980000,31168,38961
S0N,16260,825877000,40632,50791
S0P,5050,149065000,23613,29517
S2V,650,53143000,65406,81758
S3N,15470,808067000,41787,52234
S4A,9800,652193000,53240,66550
S4H,9690,594201000,49056,61321
S4K,0,0,0,0
S4L,4960,443840000,71586,89483
S4M,0,0,0,0
S4N,23830,1157858000,38870,48588
S4P,11740,561643000,38272,47840
S4R,27170,1328926000,39128,48911
S4S,28030,1988291000,56747,70934
S4T,23180,1095968000,37824,47280
S4V,26540,2088261000,62946,78683
S4W,10520,621709000,47277,59097
S4X,22590,1495243000,52952,66190
S4Y,4370,324537000,59411,74264
S4Z,1030,59455000,46178,57723
S6H,23290,1201010000,41253,51567
S6J,4350,287750000,52919,66149
S6K,990,67364000,54435,68044
S6V,31260,1470701000,37637,47047
S6W,250,19998000,63993,79992
S6X,1750,135080000,61750,77188
S7A,140,14748000,84273,105342
S7B,380,15776000,33212,41515
S7C,890,74978000,67395,84244
S7H,29210,1627763000,44580,55726
S7J,24730,1469656000,47542,59428
S7K,32530,2117676000,52079,65099
S7L,31990,1404841000,35132,43915
S7M,24000,1066261000,35541,44427
S7N,20950,1353576000,51687,64609
S7P,210,34411000,131088,163861
S7R,6290,340772000,43340,54176
S7S,4830,318696000,52785,65982
S7T,12290,928076000,60411,75514
S7V,12610,929437000,58964,73706
S7W,13110,904692000,55205,69007
S9A,11820,566384000,38333,47917
S9H,15610,888351000,45527,56909
S9V,10730,576627000,42991,53739
S9X,6510,305203000,37505,46882
Total,879280,48172961000,43828,54786
T0A,44510,2282982000,41032,51291
T0B,47660,2606857000,43756,54696
T0C,46780,2314154000,39574,49468
T0E,29140,1564916000,42962,53703
T0G,30130,1410033000,37438,46798
T0H,59280,3074403000,41489,51862
T0J,38340,1966286000,41028,51285
T0K,43940,2085452000,37968,47461
T0L,41950,2217278000,42284,52855
T0M,50730,2854892000,45020,56276
T0P,1710,72799000,34057,42572
T0V,0,0,0,0
T1A,20810,1039869000,39975,49969
T1B,25920,1608832000,49655,62069
T1C,7250,440667000,48624,60781
T1G,8620,443135000,41125,51407
T1H,21790,1016700000,37327,46659
T1J,19830,1121076000,45227,56534
T1K,36430,2205803000,48439,60549
T1L,6550,365014000,44581,55727
T1M,8030,440320000,43867,54834
T1P,13650,812029000,47591,59489
T1R,13690,718364000,41978,52473
T1S,33940,2856317000,67325,84157
T1V,13420,763191000,45495,56869
T1W,13080,1137158000,69550,86938
T1X,18810,1263569000,53740,67175
T1Y,43980,1732997000,31523,39404
T1Z,1930,159109000,65951,82439
T2A,46280,1795132000,31030,38788
T2B,17410,723332000,33236,41546
T2C,17080,1182055000,55364,69206
T2E,27430,1915716000,55872,69840
T2G,12540,913769000,58294,72868
T2H,7870,493693000,50184,62731
T2J,34300,2703683000,63059,78824
T2K,26840,1493803000,44524,55655
T2L,11290,811592000,57508,71885
T2M,15880,1365525000,68792,85990
T2N,19250,2140247000,88944,111181
T2P,13670,1341123000,78485,98107
T2R,13330,1074309000,64474,80593
T2S,11130,1847271000,132777,165972
T2T,22260,3149788000,113199,141499
T2V,25380,2330709000,73465,91832
T2W,32130,2115437000,52671,65839
T2X,42410,2880969000,54344,67931
T2Y,48190,2877851000,47774,59718
T2Z,52130,3543952000,54385,67982
T3A,42780,3002844000,56153,70192
T3B,29390,2262751000,61592,76990
T3C,18250,1327723000,58200,72751
T3E,31200,2523227000,64697,80872
T3G,46300,3073025000,53097,66372
T3H,56390,5773970000,81914,102393
T3J,64840,2457573000,30321,37902
T3K,62550,3384070000,43280,54101
T3L,23280,2086614000,71704,89631
T3M,39730,3103009000,62481,78102
T3N,25690,1118794000,34839,43549
T3P,20010,1225986000,49014,61268
T3R,25250,1830630000,58000,72500
T3S,270,16687000,49442,61803
T3T,800,7104000,7104,8880
T3Z,9400,1659926000,141269,176587
T4A,15180,998105000,52600,65751
T4B,41200,2642826000,51316,64146
T4C,28320,2129492000,60154,75193
T4E,4160,320186000,61573,76967
T4G,9930,551910000,44464,55580
T4H,9840,565161000,45948,57435
T4J,9450,522381000,44222,55278
T4L,14190,848804000,47853,59817
T4M,5160,338089000,52416,65521
T4N,23530,1256522000,42720,53400
T4P,25070,1395964000,44545,55682
T4R,28630,1881490000,52573,65717
T4S,15610,1036184000,53103,66379
T4T,11570,638206000,44128,55160
T4V,16630,929967000,44736,55921
T4X,19430,1412991000,58177,72722
T5A,25890,1196941000,36984,46231
T5B,11630,483939000,33288,41611
T5C,12280,544684000,35484,44355
T5E,24780,1142071000,36870,46088
T5G,9340,387322000,33175,41469
T5H,20300,845321000,33312,41641
T5J,7970,529375000,53136,66420
T5K,16990,1134003000,53396,66745
T5L,12890,626366000,38874,48593
T5M,11430,645056000,45148,56435
T5N,11290,1039480000,73656,92070
T5P,15710,685236000,34893,43617
T5R,18870,1388430000,58862,73578
T5S,5600,416898000,59556,74446
T5T,59280,3343722000,45124,56405
T5V,320,18492000,46229,57787
T5W,15330,744265000,38839,48549
T5X,32440,1645764000,40585,50732
T5Y,40600,2165553000,42670,53338
T5Z,26800,1471658000,43929,54912
T6A,11260,719677000,51131,63914
T6B,7560,466395000,49353,61692
T6C,15090,1028298000,54515,68144
T6E,17250,1119201000,51904,64881
T6G,8730,657618000,60262,75328
T6H,21120,1462819000,55409,69262
T6J,35890,2305211000,51383,64229
T6K,21160,984191000,37208,46511
T6L,39190,1874807000,38270,47838
T6M,25790,1960574000,60816,76020
T6N,80,5925000,59249,74062
T6P,1390,78005000,44894,56118
T6R,35830,3068723000,68516,85646
T6S,0,0,0,0
T6T,39010,1818673000,37296,46620
T6V,16630,924152000,44456,55571
T6W,60210,4070852000,54088,67610
T6X,36890,2175070000,47168,58960
T6Y,220,16714000,60777,75972
T7A,9890,610784000,49405,61757
T7E,10800,666586000,49376,61720
T7N,6630,332497000,40120,50150
T7P,6210,299179000,38540,48176
T7S,9900,611709000,49430,61788
T7V,8310,530525000,51072,63841
T7X,35860,2319370000,51742,64678
T7Y,14350,1093304000,60950,76188
T7Z,15140,936231000,49470,61838
T8A,33930,2498618000,58912,73640
T8B,5920,689912000,93231,116539
T8C,3570,342331000,76712,95891
T8E,6550,496135000,60596,75745
T8G,3760,269054000,57244,71556
T8H,23870,1736766000,58207,72759
T8L,21920,1548524000,56515,70644
T8N,53360,4002945000,60013,75017
T8R,12380,744556000,48112,60141
T8S,7110,428795000,48246,60308
T8T,5910,569290000,77060,96326
T8V,25070,1432012000,45696,57120
T8W,15670,1224809000,62529,78162
T8X,17340,1211668000,55901,69877
T9A,11950,603383000,40393,50492
T9C,5850,321275000,43934,54918
T9E,25800,1607456000,49843,62304
T9G,5290,313201000,47364,59206
T9H,20230,1764214000,69765,87207
T9J,2660,252844000,76043,95054
T9K,29290,3047809000,83244,104056
T9M,14260,932640000,52321,65402
T9N,8970,575484000,51324,64156
T9S,5810,335790000,46236,57795
T9V,16330,1116537000,54698,68373
T9W,6540,396850000,48544,60680
T9X,4790,282674000,47210,59013
Total,3296960,210938131000,51183,63979
V0A,12550,714015000,45514,56893
V0B,29110,1681046000,46198,57748
V0C,18610,1105977000,47543,59429
V0E,59870,2958958000,39538,49423
V0G,22840,1167182000,40881,51102
V0H,50020,2592533000,41463,51829
V0J,40720,2047967000,40234,50293
V0K,28180,1223868000,34744,43430
V0L,3820,127462000,26693,33367
V0M,9800,449018000,36654,45818
V0N,49920,3202458000,51320,64151
V0P,5950,261343000,35138,43923
V0R,59900,3250613000,43413,54267
V0S,220,7961000,28948,36186
V0T,6310,230514000,29224,36531
V0V,1280,37596000,23496,29371
V0W,370,17356000,37526,46908
V0X,19040,868504000,36491,45614
V1A,7180,402184000,44811,56014
V1B,19210,1262584000,52580,65725
V1C,21790,1241254000,45571,56964
V1E,17860,963483000,43156,53946
V1G,12260,725837000,47362,59203
V1H,12850,783386000,48770,60963
V1J,19610,1343692000,54816,68520
V1K,8130,372512000,36655,45819
V1L,14890,825212000,44336,55420
V1M,25800,1821792000,56489,70612
V1N,11160,624602000,44773,55967
V1P,7840,488618000,49858,62323
V1R,8400,441711000,42067,52584
V1S,10640,707262000,53176,66471
V1T,25170,1194239000,37956,47446
V1V,20720,1423444000,54959,68699
V1W,31000,2390091000,61679,77099
V1X,28800,1335335000,37092,46365
V1Y,32530,1927950000,47412,59266
V1Z,13050,821975000,50388,62986
V2A,35260,1866785000,42354,52943
V2B,32730,1695928000,41452,51815
V2C,22680,1326961000,46805,58507
V2E,12920,855382000,52964,66206
V2G,14930,787798000,42212,52766
V2H,6450,407978000,50601,63252
V2J,18560,943845000,40682,50853
V2K,17030,1103577000,51840,64801
V2L,8090,405353000,40084,50105
V2M,18480,975281000,42219,52774
V2N,26930,1671044000,49640,62051
V2P,30810,1442725000,37460,46826
V2R,44070,2445809000,44398,55498
V2S,43110,2143090000,39769,49712
V2T,49470,2149202000,34755,43444
V2V,27870,1397670000,40119,50149
V2W,17600,1136349000,51652,64565
V2X,40210,2203733000,43844,54805
V2Y,36040,2202070000,48880,61100
V2Z,13040,1066527000,65430,81788
V3A,36700,2075082000,45232,56541
V3B,49870,2709421000,43463,54329
V3C,32450,1937142000,47756,59696
V3E,34200,2089195000,48869,61087
V3G,20620,1396741000,54189,67737
V3H,30530,2405953000,63044,78806
V3J,37010,2165321000,46804,58506
V3K,25850,1466194000,45375,56719
V3L,24790,1589047000,51280,64100
V3M,39380,2193618000,44562,55703
V3N,34110,1746962000,40972,51215
V3R,51220,2200040000,34361,42952
V3S,86070,4556533000,42351,52939
V3T,40170,1628670000,32435,40544
V3V,46200,1812351000,31382,39228
V3W,83930,3363735000,32061,40077
V3X,27410,1416202000,41333,51667
V3Y,15570,981086000,50408,63011
V3Z,29240,2250941000,61584,76981
V4A,32040,2318840000,57898,72373
V4B,17610,1316541000,59808,74760
V4C,39970,1951201000,39052,48816
V4E,10380,632930000,48780,60975
V4G,290,34963000,96449,120562
V4K,20750,1394144000,53749,67187
V4L,6640,574267000,69188,86485
V4M,13210,1148485000,69552,86940
V4N,68850,3807589000,44241,55302
V4P,11430,907468000,63514,79393
V4R,12940,846798000,52352,65440
V4S,6010,340563000,45332,56666
V4T,25780,1444762000,44832,56041
V4V,15040,903942000,48081,60102
V4W,16850,934063000,44347,55434
V4X,11610,716883000,49397,61747
V4Z,4360,272766000,50048,62561
V5A,20930,1329733000,50825,63532
V5B,19170,1165706000,48646,60808
V5C,31000,2023385000,52216,65270
V5E,23070,1281538000,44439,55549
V5G,17540,1139278000,51962,64953
V5H,36780,1816542000,39511,49389
V5J,20000,1054393000,42175,52719
V5K,18900,1116960000,47278,59098
V5L,15230,1009101000,53005,66257
V5M,19680,928580000,37746,47183
V5N,28970,1619823000,44730,55913
V5P,28330,1347363000,38047,47559
V5R,42320,1915248000,36204,45256
V5S,27060,1476050000,43637,54547
V5T,20410,1491517000,58461,73077
V5V,19220,1409837000,58681,73352
V5W,17650,994885000,45093,56367
V5X,26630,1243777000,37364,46705
V5Y,15260,1445168000,75762,94703
V5Z,20390,1838249000,72123,90154
V6A,17410,955426000,43902,54878
V6B,26380,2388372000,72429,90537
V6C,6500,1021753000,125753,157192
